map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[01:35:01.389] WARN  [p0gate7] [bot] 0x20 resync; aborting path
[01:35:04.021] WARN  [p0gate7] [bot] goal (1486,1548) is not walkable; skipping A* and stopping
[01:35:05.391] WARN  [p0gate7] [bot] goal (1486,1548) is not walkable; skipping A* and stopping
[01:35:06.714] WARN  [p0gate7] [bot] goal (1486,1548) is not walkable; skipping A* and stopping
[01:35:09.486] WARN  [p0gate7] [bot] goal (1486,1548) is not walkable; skipping A* and stopping
[01:35:10.840] WARN  [p0gate7] [bot] goal (1486,1548) is not walkable; skipping A* and stopping
[01:35:12.182] WARN  [p0gate7] [bot] goal (1486,1548) is not walkable; skipping A* and stopping
[01:35:14.244] WARN  [p0gate7] [bot] no path to (1489,1550) avoiding 0 block(s); stopping (search 1002991.9us)
[01:35:14.244] WARN  [p0gate7] [bot] start (1489,1554,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 91 item(s), 4 mobile(s))
[01:36:16.724] WARN  [p0gate7] [bot] 0x20 resync; aborting path
[01:36:32.430] WARN  [p0gate7] [0x21] move REJECTED seq=19; server says (1439,1693,0) facing=3
[01:36:32.430] WARN  [p0gate7] [bot] 0x20 resync; aborting path
[01:37:36.433] WARN  [p0gate7] [ACTION_RESULT] npc_train invalid_state (15ms) You already know as much as I can teach of Meditation
[01:37:40.249] WARN  [p0gate7] [bot] no path to (1489,1553) avoiding 0 block(s); stopping (search 1166450.5us)
[01:37:40.249] WARN  [p0gate7] [bot] start (1485,1549,35) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 503 item(s), 4 mobile(s))
[01:37:47.256] WARN  [p0gate7] [bot] no path to (1488,1551) avoiding 0 block(s); stopping (search 1222569.7us)
[01:37:47.256] WARN  [p0gate7] [bot] start (1489,1553,30) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 503 item(s), 4 mobile(s))
[01:37:51.362] WARN  [p0gate7] [ACTION_RESULT] npc_train timeout (no server confirmation)
[01:37:52.359] WARN  [p0gate7] [bot] no path to (1488,1550) avoiding 0 block(s); stopping (search 1118552.6us)
[01:37:52.359] WARN  [p0gate7] [bot] start (1488,1551,30) exits: open=6 terrain=1 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 503 item(s), 4 mobile(s))
[01:37:56.561] WARN  [p0gate7] [bot] no path to (1486,1551) avoiding 0 block(s); stopping (search 1154850.3us)
[01:37:56.562] WARN  [p0gate7] [bot] start (1488,1551,30) exits: open=6 terrain=1 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 503 item(s), 4 mobile(s))
[01:38:00.825] WARN  [p0gate7] [ACTION_RESULT] vendor_buy timeout (no server confirmation)
[01:38:01.320] WARN  [p0gate7] [bot] no path to (1484,1551) avoiding 0 block(s); stopping (search 1197605.0us)
[01:38:01.320] WARN  [p0gate7] [bot] start (1486,1551,30) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 503 item(s), 4 mobile(s))
[01:38:07.105] WARN  [p0gate7] [bot] no path to (1486,1551) avoiding 0 block(s); stopping (search 1142935.7us)
[01:38:07.105] WARN  [p0gate7] [bot] start (1484,1551,30) exits: open=3 terrain=5 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 503 item(s), 4 mobile(s))
[01:38:09.735] WARN  [p0gate7] [bot] no path to (1488,1548) avoiding 0 block(s); stopping (search 1210700.2us)
[01:38:09.735] WARN  [p0gate7] [bot] start (1484,1551,30) exits: open=3 terrain=5 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 503 item(s), 4 mobile(s))
[01:38:12.323] WARN  [p0gate7] [bot] no path to (1485,1548) avoiding 0 block(s); stopping (search 1165956.2us)
[01:38:12.323] WARN  [p0gate7] [bot] start (1484,1551,30) exits: open=3 terrain=5 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 503 item(s), 4 mobile(s))
