start: Sianna is a archer and lives in Trinsic -> starting city index 4
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[16:37:38.749] WARN  [n10_Sianna] [0x21] move REJECTED seq=52; server says (2000,2856,14) facing=7
[16:37:39.500] WARN  [n10_Sianna] [0x21] move REJECTED seq=0; server says (2000,2856,14) facing=7
[16:38:17.506] WARN  [n10_Sianna] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[16:38:18.794] WARN  [n10_Sianna] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[16:38:20.177] WARN  [n10_Sianna] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[16:38:23.073] WARN  [n10_Sianna] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[16:38:24.457] WARN  [n10_Sianna] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[16:38:25.779] WARN  [n10_Sianna] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[16:38:30.199] WARN  [n10_Sianna] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[16:38:31.554] WARN  [n10_Sianna] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[16:38:32.910] WARN  [n10_Sianna] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[16:38:38.800] WARN  [n10_Sianna] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[16:38:40.148] WARN  [n10_Sianna] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[16:38:41.492] WARN  [n10_Sianna] [bot] goal (1880,2802) is not walkable; skipping A* and stopping
[16:38:41.554] WARN  [n10_Sianna] [travel] route exhausted at (1896,2824,6); trying to reach (1880,2808,10) to get somewhere routable (escape 1/3)
[16:38:54.062] WARN  [n10_Sianna] [0x21] move REJECTED seq=16; server says (1884,2814,10) facing=5
[16:38:54.062] WARN  [n10_Sianna] [bot] 0x20 resync; aborting path
[16:39:43.889] WARN  [n10_Sianna] [bot] 0x20 resync; aborting path
[16:39:48.207] WARN  [n10_Sianna] [bot] no path to (1850,2797) avoiding 0 block(s); stopping (search 1670993.6us)
[16:39:48.207] WARN  [n10_Sianna] [bot] start (1853,2801,-4) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 436 item(s), 3 mobile(s))
[16:39:51.531] WARN  [n10_Sianna] [bot] no path to (1850,2797) avoiding 0 block(s); stopping (search 2035002.1us)
[16:39:51.531] WARN  [n10_Sianna] [bot] start (1853,2801,-4) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 436 item(s), 3 mobile(s))
[16:39:56.089] WARN  [n10_Sianna] [bot] no path to (1850,2797) avoiding 0 block(s); stopping (search 1768931.1us)
