start: Rowan is a lumberjack_swordsman and lives in Skara Brae -> starting city index 7
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[16:40:00.934] WARN  [n10_Rowan] [bot] 0x20 resync; aborting path
[16:43:04.671] WARN  [n10_Rowan] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[16:43:06.030] WARN  [n10_Rowan] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[16:43:07.376] WARN  [n10_Rowan] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[16:43:10.259] WARN  [n10_Rowan] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[16:43:11.603] WARN  [n10_Rowan] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[16:43:12.948] WARN  [n10_Rowan] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[16:43:17.303] WARN  [n10_Rowan] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[16:43:18.604] WARN  [n10_Rowan] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[16:43:19.954] WARN  [n10_Rowan] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[16:43:25.839] WARN  [n10_Rowan] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[16:43:27.121] WARN  [n10_Rowan] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[16:43:28.470] WARN  [n10_Rowan] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[16:43:28.531] WARN  [n10_Rowan] [travel] route exhausted at (1416,1624,22); trying to reach (1416,1640,20) to get somewhere routable (escape 1/3)
[16:43:34.719] WARN  [n10_Rowan] [travel] route exhausted at (1416,1640,20); trying to reach (1400,1624,28) to get somewhere routable (escape 2/3)
[16:43:44.545] WARN  [n10_Rowan] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[16:43:45.811] WARN  [n10_Rowan] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[16:43:47.099] WARN  [n10_Rowan] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[16:43:49.922] WARN  [n10_Rowan] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[16:43:51.215] WARN  [n10_Rowan] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[16:43:52.564] WARN  [n10_Rowan] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[16:43:56.944] WARN  [n10_Rowan] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[16:43:58.297] WARN  [n10_Rowan] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[16:43:59.646] WARN  [n10_Rowan] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[16:44:05.554] WARN  [n10_Rowan] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[16:44:06.909] WARN  [n10_Rowan] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[16:44:08.254] WARN  [n10_Rowan] [bot] goal (1430,1597) is not walkable; skipping A* and stopping
[16:44:08.315] WARN  [n10_Rowan] [travel] route exhausted at (1400,1624,28); trying to reach (1384,1608,30) to get somewhere routable (escape 3/3)
[16:46:38.322] WARN  [n10_Rowan] [bot] THREAT (HP 40 -> 35): halting travel (TODO engage/flee/recall)
[16:49:03.847] WARN  [n10_Rowan] [bot] 0x20 resync; aborting path
[16:49:07.961] WARN  [n10_Rowan] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1496826.2us)
[16:49:07.961] WARN  [n10_Rowan] [bot] start (553,990,0) exits: open=7 terrain=0 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 838 item(s), 5 mobile(s))
[16:49:10.803] WARN  [n10_Rowan] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1486330.4us)
[16:49:10.803] WARN  [n10_Rowan] [bot] start (553,990,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 838 item(s), 4 mobile(s))
[16:49:13.773] WARN  [n10_Rowan] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1667618.4us)
[16:49:13.773] WARN  [n10_Rowan] [bot] start (553,990,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 838 item(s), 5 mobile(s))
[16:49:18.320] WARN  [n10_Rowan] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1689752.9us)
[16:49:18.320] WARN  [n10_Rowan] [bot] start (553,990,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 838 item(s), 6 mobile(s))
[16:49:21.078] WARN  [n10_Rowan] [bot] no path to (554,984) avoiding 0 block(s); stopping (search 1443275.1us)
[16:49:21.078] WARN  [n10_Rowan] [bot] start (553,990,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 838 item(s), 5 mobile(s))
