map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[14:47:55.579] WARN  [f6_Ysolde] [bot] 0x20 resync; aborting path
[14:47:59.239] WARN  [f6_Ysolde] [bot] no path to (1484,1551) avoiding 0 block(s); stopping (search 1040318.6us)
[14:47:59.240] WARN  [f6_Ysolde] [bot] start (1486,1548,32) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 110 item(s), 5 mobile(s))
[14:47:59.301] WARN  [f6_Ysolde] [travel] reached (1486,1548,32) but the target is on another floor; not arrived
[14:48:01.653] WARN  [f6_Ysolde] [bot] no path to (1484,1551) avoiding 0 block(s); stopping (search 1045822.2us)
[14:48:01.653] WARN  [f6_Ysolde] [bot] start (1486,1548,32) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 110 item(s), 5 mobile(s))
[14:48:01.714] WARN  [f6_Ysolde] [travel] reached (1486,1548,32) but the target is on another floor; not arrived
[14:48:04.019] WARN  [f6_Ysolde] [bot] no path to (1484,1551) avoiding 0 block(s); stopping (search 1036177.8us)
[14:48:04.019] WARN  [f6_Ysolde] [bot] start (1486,1548,32) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 110 item(s), 5 mobile(s))
[14:48:04.079] WARN  [f6_Ysolde] [travel] reached (1486,1548,32) but the target is on another floor; not arrived
[14:48:07.929] WARN  [f6_Ysolde] [bot] no path to (1484,1551) avoiding 0 block(s); stopping (search 1056927.6us)
[14:48:07.929] WARN  [f6_Ysolde] [bot] start (1486,1548,32) exits: open=5 terrain=2 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 110 item(s), 5 mobile(s))
[14:48:07.990] WARN  [f6_Ysolde] [travel] reached (1486,1548,32) but the target is on another floor; not arrived
[14:48:10.349] WARN  [f6_Ysolde] [bot] no path to (1484,1551) avoiding 0 block(s); stopping (search 1070489.0us)
[14:48:10.349] WARN  [f6_Ysolde] [bot] start (1486,1548,32) exits: open=6 terrain=2 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 110 item(s), 5 mobile(s))
[14:48:10.412] WARN  [f6_Ysolde] [travel] reached (1486,1548,32) but the target is on another floor; not arrived
[14:48:15.752] WARN  [f6_Ysolde] [bot] no path to (1485,1554) avoiding 0 block(s); stopping (search 1214340.9us)
[14:48:15.752] WARN  [f6_Ysolde] [bot] start (1484,1544,50) exits: open=2 terrain=5 mobile=1 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 4 mobile(s))
[14:48:15.814] WARN  [f6_Ysolde] [travel] reached (1484,1544,50) but the target is on another floor; not arrived
[14:48:24.805] WARN  [f6_Ysolde] [bot] no path to (1486,1552) avoiding 0 block(s); stopping (search 1845.4us)
[14:48:24.806] WARN  [f6_Ysolde] [bot] start (1485,1554,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:48:29.128] WARN  [f6_Ysolde] [bot] no path to (1484,1550) avoiding 0 block(s); stopping (search 2323.9us)
[14:48:29.128] WARN  [f6_Ysolde] [bot] start (1486,1552,70) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:48:29.158] WARN  [f6_Ysolde] [travel] reached (1486,1552,70) but the target is on another floor; not arrived
[14:48:33.678] WARN  [f6_Ysolde] [bot] no path to (1487,1550) avoiding 0 block(s); stopping (search 1041396.0us)
[14:48:33.679] WARN  [f6_Ysolde] [bot] start (1488,1549,70) exits: open=5 terrain=3 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 5 mobile(s))
[14:48:33.740] WARN  [f6_Ysolde] [travel] reached (1488,1549,70) but the target is on another floor; not arrived
[14:48:38.475] WARN  [f6_Ysolde] [bot] no path to (1489,1547) avoiding 0 block(s); stopping (search 1551385.2us)
[14:48:38.475] WARN  [f6_Ysolde] [bot] start (1491,1545,70) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 4 mobile(s))
[14:48:38.536] WARN  [f6_Ysolde] [travel] reached (1491,1545,70) but the target is on another floor; not arrived
[14:48:40.810] WARN  [f6_Ysolde] [bot] no path to (1489,1547) avoiding 0 block(s); stopping (search 1034468.5us)
[14:48:40.811] WARN  [f6_Ysolde] [bot] start (1491,1545,70) exits: open=7 terrain=1 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 111 item(s), 4 mobile(s))
[14:48:40.871] WARN  [f6_Ysolde] [travel] reached (1491,1545,70) but the target is on another floor; not arrived
