start: Durnholde is a miner_smith and lives in Minoc -> starting city index 1
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[22:46:04.789] WARN  [pair2_Durnholde] [0x21] move REJECTED seq=53; server says (5569,3335,17) facing=2
[22:46:05.526] WARN  [pair2_Durnholde] [0x21] move REJECTED seq=0; server says (5569,3335,17) facing=2
[22:46:22.658] WARN  [pair2_Durnholde] [0x21] move REJECTED seq=9; server says (5610,3333,16) facing=1
[22:46:24.553] WARN  [pair2_Durnholde] [0x21] move REJECTED seq=5; server says (5610,3333,16) facing=1
[22:46:32.281] WARN  [pair2_Durnholde] [0x21] move REJECTED seq=31; server says (5618,3318,16) facing=1
[22:46:33.031] WARN  [pair2_Durnholde] [0x21] move REJECTED seq=0; server says (5618,3318,16) facing=1
[22:47:45.417] WARN  [pair2_Durnholde] [0x21] move REJECTED seq=68; server says (5801,3288,2) facing=6
[22:47:46.170] WARN  [pair2_Durnholde] [0x21] move REJECTED seq=0; server says (5801,3288,2) facing=6
[22:47:47.245] WARN  [pair2_Durnholde] [bot] no path to (5800,3288) avoiding 1 block(s); stopping (search 1021494.7us)
[22:47:47.245] WARN  [pair2_Durnholde] [bot] start (5801,3288,2) exits: open=6 terrain=1 mobile=0 dynamic=0 door=0 blacklist=1 (overlay saw 93 item(s), 3 mobile(s))
[22:47:47.626] WARN  [pair2_Durnholde] [0x21] move REJECTED seq=1; server says (5801,3288,2) facing=5
[22:47:48.377] WARN  [pair2_Durnholde] [0x21] move REJECTED seq=0; server says (5801,3288,2) facing=5
[22:47:48.887] WARN  [pair2_Durnholde] [0x21] move REJECTED seq=1; server says (5801,3288,2) facing=6
[22:47:49.595] WARN  [pair2_Durnholde] [0x21] move REJECTED seq=0; server says (5801,3288,2) facing=6
[22:47:50.579] WARN  [pair2_Durnholde] [bot] no path to (5805,3300) avoiding 2 block(s); stopping (search 938957.3us)
[22:47:50.579] WARN  [pair2_Durnholde] [bot] start (5801,3288,2) exits: open=5 terrain=1 mobile=0 dynamic=0 door=0 blacklist=2 (overlay saw 93 item(s), 3 mobile(s))
[22:47:52.195] WARN  [pair2_Durnholde] [0x21] move REJECTED seq=1; server says (5801,3288,2) facing=5
[22:47:52.933] WARN  [pair2_Durnholde] [0x21] move REJECTED seq=0; server says (5801,3288,2) facing=5
[22:47:53.441] WARN  [pair2_Durnholde] [0x21] move REJECTED seq=1; server says (5801,3288,2) facing=6
[22:47:54.161] WARN  [pair2_Durnholde] [0x21] move REJECTED seq=0; server says (5801,3288,2) facing=6
[22:47:55.403] WARN  [pair2_Durnholde] [bot] no path to (5805,3300) avoiding 2 block(s); stopping (search 1213104.8us)
[22:47:55.403] WARN  [pair2_Durnholde] [bot] start (5801,3288,2) exits: open=5 terrain=1 mobile=0 dynamic=0 door=0 blacklist=2 (overlay saw 93 item(s), 3 mobile(s))
[22:47:58.481] WARN  [pair2_Durnholde] [0x21] move REJECTED seq=1; server says (5801,3288,2) facing=5
[22:47:59.235] WARN  [pair2_Durnholde] [0x21] move REJECTED seq=0; server says (5801,3288,2) facing=5
[22:47:59.862] WARN  [pair2_Durnholde] [0x21] move REJECTED seq=1; server says (5801,3288,2) facing=6
[22:48:00.613] WARN  [pair2_Durnholde] [0x21] move REJECTED seq=0; server says (5801,3288,2) facing=6
[22:48:01.661] WARN  [pair2_Durnholde] [bot] no path to (5805,3300) avoiding 2 block(s); stopping (search 1010666.4us)
[22:48:01.661] WARN  [pair2_Durnholde] [bot] start (5801,3288,2) exits: open=5 terrain=1 mobile=0 dynamic=0 door=0 blacklist=2 (overlay saw 93 item(s), 3 mobile(s))
[22:48:03.229] WARN  [pair2_Durnholde] [0x21] move REJECTED seq=1; server says (5801,3288,2) facing=5
[22:48:03.984] WARN  [pair2_Durnholde] [0x21] move REJECTED seq=0; server says (5801,3288,2) facing=5
[22:48:04.597] WARN  [pair2_Durnholde] [0x21] move REJECTED seq=1; server says (5801,3288,2) facing=6
[22:48:05.347] WARN  [pair2_Durnholde] [0x21] move REJECTED seq=0; server says (5801,3288,2) facing=6
[22:48:06.362] WARN  [pair2_Durnholde] [bot] no path to (5805,3300) avoiding 2 block(s); stopping (search 994073.7us)
[22:48:06.362] WARN  [pair2_Durnholde] [bot] start (5801,3288,2) exits: open=5 terrain=1 mobile=0 dynamic=0 door=0 blacklist=2 (overlay saw 93 item(s), 3 mobile(s))
[22:48:11.014] WARN  [pair2_Durnholde] [0x21] move REJECTED seq=1; server says (5801,3288,2) facing=5
[22:48:11.755] WARN  [pair2_Durnholde] [0x21] move REJECTED seq=0; server says (5801,3288,2) facing=5
[22:48:12.203] WARN  [pair2_Durnholde] [0x21] move REJECTED seq=1; server says (5801,3288,2) facing=6
