start: Corwyn is a miner_smith and lives in Vesper -> starting city index 8
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[19:18:05.192] WARN  [v_Corwyn] [bot] 0x20 resync; aborting path
[19:18:13.720] WARN  [v_Corwyn] [ACTION_RESULT] open_bank timeout (no server confirmation)
[19:18:20.810] WARN  [v_Corwyn] [ACTION_RESULT] open_bank timeout (no server confirmation)
[19:18:27.846] WARN  [v_Corwyn] [ACTION_RESULT] open_bank timeout (no server confirmation)
[19:18:38.973] WARN  [v_Corwyn] [bot] 0x20 resync; aborting path
[19:18:44.548] WARN  [v_Corwyn] [bot] 0x20 resync; aborting path
[19:18:50.083] WARN  [v_Corwyn] [bot] 0x20 resync; aborting path
[19:18:55.699] WARN  [v_Corwyn] [bot] 0x20 resync; aborting path
[19:19:01.207] WARN  [v_Corwyn] [bot] 0x20 resync; aborting path
[19:19:06.752] WARN  [v_Corwyn] [bot] 0x20 resync; aborting path
[19:20:12.922] WARN  [v_Corwyn] [bot] no path to (2499,549) avoiding 0 block(s); stopping (search 955225.7us)
[19:20:12.922] WARN  [v_Corwyn] [bot] start (2516,543,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 113 item(s), 4 mobile(s))
[19:20:15.113] WARN  [v_Corwyn] [bot] no path to (2499,549) avoiding 0 block(s); stopping (search 942192.5us)
[19:20:15.113] WARN  [v_Corwyn] [bot] start (2516,543,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 113 item(s), 5 mobile(s))
[19:20:17.390] WARN  [v_Corwyn] [bot] no path to (2499,549) avoiding 0 block(s); stopping (search 963246.4us)
[19:20:17.390] WARN  [v_Corwyn] [bot] start (2516,543,0) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 113 item(s), 5 mobile(s))
[19:21:28.222] WARN  [v_Corwyn] [bot] no path to (2456,456) avoiding 0 block(s); stopping (search 984585.0us)
[19:21:28.222] WARN  [v_Corwyn] [bot] start (2461,457,15) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 201 item(s), 4 mobile(s))
[19:21:30.486] WARN  [v_Corwyn] [bot] no path to (2456,456) avoiding 0 block(s); stopping (search 965629.9us)
[19:21:30.486] WARN  [v_Corwyn] [bot] start (2461,457,15) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 201 item(s), 4 mobile(s))
